data-hora,id,conteudo,candidato,tweet_limpo
2022-07-30 23:36:52+00:00,1553525061872746496,@UOLNoticias @LulaOficial Todos técnico em roubalheira do PT!,bolsonaro,  todos técnico em roubalheira do pt!
2022-07-30 23:36:50+00:00,1553525054947876866,"@LulaOficial Pena que depois meteu a mão no bolso e no dinheiro do povo…

…estava indo tão bem.",bolsonaro, pena que depois meteu a mão no bolso e no dinheiro do povo……estava indo tão bem.
2022-07-30 23:36:50+00:00,1553525054088019968,"@LulaOficial E você Lula,  precisa de cadeia !!!",bolsonaro," e você lula,  precisa de cadeia !!!"
2022-07-30 23:36:50+00:00,1553525051676295168,"@rosangelamorosp Contra o Lula, contra o PT, contra o Lula kkkk Mas não citou o Bolsonero.",bolsonaro," contra o lula, contra o pt, contra o lula kkkk mas não citou o bolsonero."
2022-07-30 23:36:49+00:00,1553525047825993728,@ThiagoResiste @LulaOficial @ricardostuckert É LULA PRESIDENTE,bolsonaro,   é lula presidente
2022-07-30 23:36:45+00:00,1553525031229063168,"@LulaOficial @dilmabr Conta outra piada, conta a do Palocci ou a da Petrobrás. Você além de mentiroso é imoral.",bolsonaro,"  conta outra piada, conta a do palocci ou a da petrobrás. você além de mentiroso é imoral."
2022-07-30 23:36:45+00:00,1553525030897737728,@ptbrasil @LulaOficial Doutor em quê? Você está fora da realidade do mundo.,bolsonaro,  doutor em quê? você está fora da realidade do mundo.
2022-07-30 23:36:44+00:00,1553525028209172480,@jairbolsonaro Lula Presidente ! #lulaeleitonoprimeiroturno,bolsonaro, lula presidente ! 
2022-07-30 23:36:41+00:00,1553525017727696896,@LulaOficial https://t.co/vZRzZwTrxo,bolsonaro, 
2022-07-30 23:36:41+00:00,1553525015609475072,Nossa estrela vai brilhar no primeiro turno!⭐️⭐️⭐️ @LulaOficial rumo à vitória em outubro! 1️⃣3️⃣⭐️❤️🚩#lulaeleitonoprimeiroturno https://t.co/v7FOvp8b0d,bolsonaro,nossa estrela vai brilhar no primeiro turno!⭐️⭐️⭐️  rumo à vitória em outubro! 1️⃣3️⃣⭐️❤️🚩 
2022-07-30 23:36:40+00:00,1553525010387636225,@MarceloFreixo @LulaOficial @geraldoalckmin @cesarmaia Foraaaa!! https://t.co/3muiKlTQoN,bolsonaro,    foraaaa!! 
2022-07-30 23:36:39+00:00,1553525008034586625,Três eleirores do @LulaOficial se olhando 💚 @GuilhermeBoulos https://t.co/4XJq70VDSA,bolsonaro,três eleirores do  se olhando 💚  
2022-07-30 23:36:39+00:00,1553525005622951936,@ThiagoResiste É LULA PRESIDENTE,bolsonaro, é lula presidente
2022-07-30 23:36:39+00:00,1553525005392166913,@jairbolsonaro Foi papai lula que fez,bolsonaro, foi papai lula que fez
2022-07-30 23:36:38+00:00,1553525003563450370,"@LulaOficial Molusco de 9 dedos,tomara que você volte mesmo.
Mas para a cadeia.",bolsonaro," molusco de 9 dedos,tomara que você volte mesmo.mas para a cadeia."
2022-07-30 23:36:38+00:00,1553525002791788546,@cartacapital Ciro o arenista a serviço de Bolsonaro contra Lula!,bolsonaro, ciro o arenista a serviço de bolsonaro contra lula!
2022-07-30 23:36:36+00:00,1553524995384557577,"Uma amiga bolsonarista, hoje, me enviou via zap um RECORTE de vídeo de palestra do Lula na década de 80, na UNICAMP, em q ele confessaria ter ""um plano comunista"" p o Brasil. Azar dela que eu identifiquei na hora o vídeo pois leio e assisto de tudo e tenho memória prodigiosa. 1/3",bolsonaro,"uma amiga bolsonarista, hoje, me enviou via zap um recorte de vídeo de palestra do lula na década de 80, na unicamp, em q ele confessaria ter ""um plano comunista"" p o brasil. azar dela que eu identifiquei na hora o vídeo pois leio e assisto de tudo e tenho memória prodigiosa. 1/3"
2022-07-30 23:36:36+00:00,1553524994625388546,hj chegou uma homem la no meu trabalho e o celular dele tocou : EEI LULA EU VOU VOTAR EM TU eu automaticamente abri um sorrisão (,bolsonaro,hj chegou uma homem la no meu trabalho e o celular dele tocou : eei lula eu vou votar em tu eu automaticamente abri um sorrisão (
2022-07-30 23:36:36+00:00,1553524994596118537,"@Menino_maiki Agora mano, uma coisa é certa, se o lula ganhar...
Eu tenho uma leve impressão que os argentinos vai perder a vontade de vir pra cá e o motivo acho que não preciso dizer",bolsonaro," agora mano, uma coisa é certa, se o lula ganhar...eu tenho uma leve impressão que os argentinos vai perder a vontade de vir pra cá e o motivo acho que não preciso dizer"
2022-07-30 23:36:36+00:00,1553524994168291329,O Lindo Lula!,bolsonaro,o lindo lula!
2022-07-30 23:36:36+00:00,1553524994105286656,"Luciano Bivar o presidente da União Brasil, tem negociado com o PT, e Sérgio Moro afirma que jamais apoiaria Lula e Alckmin: ""PT e Lula de volta jamais"". 

Contra tudo e contra todos, alguém tem que avisar a Moro, que Lula não precisa de seu apoio. https://t.co/YATMG5YFbc",bolsonaro,"luciano bivar o presidente da união brasil, tem negociado com o pt, e sérgio moro afirma que jamais apoiaria lula e alckmin: ""pt e lula de volta jamais"". contra tudo e contra todos, alguém tem que avisar a moro, que lula não precisa de seu apoio. "
2022-07-30 23:36:36+00:00,1553524993581109248,@nonoinvestidor @LulaOficial @ricardostuckert Hahahahahhaha,bolsonaro,   hahahahahhaha
2022-07-30 23:36:36+00:00,1553524993270714368,"@flaviogordon Podem tentar,e vão ver com quantos pau se faz uma canoa..pra eles negarem teria que ter no mínimo um bom motivo.o lula tem vários motivos, inclusive é ladrão e continua legível.querem uma revolta popular é só eles tentar esse golpe",bolsonaro," podem tentar,e vão ver com quantos pau se faz uma canoa..pra eles negarem teria que ter no mínimo um bom motivo.o lula tem vários motivos, inclusive é ladrão e continua legível.querem uma revolta popular é só eles tentar esse golpe"
2022-07-30 23:36:35+00:00,1553524992075354113,"@tatifarah @monikalive E o Lula, pode ser??¿ https://t.co/rRRn9tAlBm",bolsonaro,"  e o lula, pode ser??¿ "
2022-07-30 23:36:34+00:00,1553524988254339079,@renancalheiros @LulaOficial https://t.co/bc1OAVWSTk,bolsonaro,  
2022-07-30 23:36:34+00:00,1553524987004428293,@g_vgouvea @augustodeAB @psb @LulaOficial Destruiu o país em 4 mandatos e agora quer reconstruir?!,bolsonaro,    destruiu o país em 4 mandatos e agora quer reconstruir?!
2022-07-30 23:36:33+00:00,1553524982080217088,@LulaOficial @dilmabr Pode até ser isso mesmo mas não rouba não tem vínculo com o PCC que nem você fedido,bolsonaro,  pode até ser isso mesmo mas não rouba não tem vínculo com o pcc que nem você fedido
2022-07-30 23:36:33+00:00,1553524980805259266,"@ananias_1979 @lucinha_ce Em 2018 todas as pesquisas indicavam que Ciro era o único que venceria Bolsonaro. O Lula mesmo na cadeia, não o apoiou. O que falta eu entender?",bolsonaro,"  em 2018 todas as pesquisas indicavam que ciro era o único que venceria bolsonaro. o lula mesmo na cadeia, não o apoiou. o que falta eu entender?"
2022-07-30 23:36:33+00:00,1553524980624904192,@LulaOficial @dilmabr https://t.co/6JcJbhTdST,bolsonaro,  
2022-07-30 23:36:33+00:00,1553524980498964482,"Como assim, 25% dos eleitores de Bolsonaro votariam em Lula e 17% de Lula votariam em Bolsonaro???? Entendi nada, pensei que eram água e óleo.",bolsonaro,"como assim, 25% dos eleitores de bolsonaro votariam em lula e 17% de lula votariam em bolsonaro???? entendi nada, pensei que eram água e óleo."
2022-07-30 23:36:33+00:00,1553524980146737154,"@renancalheiros @LulaOficial Verme elogiando verde, sensacional",bolsonaro,"  verme elogiando verde, sensacional"
2022-07-30 23:36:32+00:00,1553524976493465601,@renancalheiros @LulaOficial Lola ladrão,bolsonaro,  lola ladrão
2022-07-30 23:36:31+00:00,1553524974773846018,"🎵🎶Lula lá, brilha uma estrela Lula lá, cresce a esperança Lula lá, o Brasil criança.🎵Na alegria de se abraçar. 🎶Lula lá, c sinceridade Lula lá, c toda a certeza pra vc.🎶 Meu 1° voto.Pra fazer brilhar nossa estrela. Lula lá, é a gente junto. Lula lá, valeu a espera. 🎶🎶🎶🇧🇷 https://t.co/cUxryzhKIN",bolsonaro,"🎵🎶lula lá, brilha uma estrela lula lá, cresce a esperança lula lá, o brasil criança.🎵na alegria de se abraçar. 🎶lula lá, c sinceridade lula lá, c toda a certeza pra vc.🎶 meu 1° voto.pra fazer brilhar nossa estrela. lula lá, é a gente junto. lula lá, valeu a espera. 🎶🎶🎶🇧🇷 "
2022-07-30 23:36:31+00:00,1553524974589300741,@renancalheiros @LulaOficial E você é oque? Nós ti conhecemos Renan. Aqui em São Paulo você não ganha nada. Não voto em você nem para monitor de escola. @jairbolsonaro olha esses caras kkk,bolsonaro,  e você é oque? nós ti conhecemos renan. aqui em são paulo você não ganha nada. não voto em você nem para monitor de escola.  olha esses caras kkk
2022-07-30 23:36:31+00:00,1553524973309988864,"@LulaOficial Ainda bem que somos muitos para impedir que o criminoso condenado, suspeitos de associação com narcotráfico, mídias e políticos com crise de abstinência de dinheiro público e seus cúmplices  tomem conta do Brasil.",bolsonaro," ainda bem que somos muitos para impedir que o criminoso condenado, suspeitos de associação com narcotráfico, mídias e políticos com crise de abstinência de dinheiro público e seus cúmplices  tomem conta do brasil."
2022-07-30 23:36:31+00:00,1553524972244672515,@DeputadoFederal @LulaOficial Já resolve os problemas da falência fraudulenta dos postos de gasolina?,bolsonaro,  já resolve os problemas da falência fraudulenta dos postos de gasolina?
2022-07-30 23:36:30+00:00,1553524970768277517,@LulaOficial Vc é um mentiroso!!!,bolsonaro, vc é um mentiroso!!!
2022-07-30 23:36:28+00:00,1553524962656403456,"@ricardojgomes @change_br Esse Manifesto está bombando, mas como diz a repórter Amanda Lula, não tem valor porque é assinada por pessoas simples com nós O POVO 😂
Vamos assinar Pessoal!!!",bolsonaro,"  esse manifesto está bombando, mas como diz a repórter amanda lula, não tem valor porque é assinada por pessoas simples com nós o povo 😂vamos assinar pessoal!!!"
2022-07-30 23:36:28+00:00,1553524959879864320,"@NeoTupi @LulaOficial Se ele ganhar nem pix tu faz mais,nem celular vc vai ter kkkkkkkk ainda bem q não ganha",bolsonaro,"  se ele ganhar nem pix tu faz mais,nem celular vc vai ter kkkkkkkk ainda bem q não ganha"
2022-07-30 23:36:27+00:00,1553524958004920322,@LulaOficial Calaboca Lula vc parece o doguinho pançudo,bolsonaro, calaboca lula vc parece o doguinho pançudo
2022-07-30 23:36:27+00:00,1553524957358989313,@LulaOficial Que bosta. Os outros são de vagabundos?,bolsonaro, que bosta. os outros são de vagabundos?
2022-07-30 23:36:26+00:00,1553524953055633409,@DieguitoLima7 @soueuAlan_ @ValterJunior913 @LulaOficial @ricardostuckert como se bolsonaro fosse visitar povão. o cara não sai da bolha.,bolsonaro,     como se bolsonaro fosse visitar povão. o cara não sai da bolha.
2022-07-30 23:36:26+00:00,1553524951965106178,@senadorhumberto O do lula não né??? 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,bolsonaro, o do lula não né??? 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
2022-07-30 23:36:25+00:00,1553524950434291712,"@ze_carlospt Não usarei em razão de todas as falcatruas da CBF. E, adianto, que só torcerei pelo Brasil caso Lula seja eleito!",bolsonaro," não usarei em razão de todas as falcatruas da cbf. e, adianto, que só torcerei pelo brasil caso lula seja eleito!"
2022-07-30 23:36:23+00:00,1553524941940822016,"@LulaOficial @dilmabr O senhor e o PT são especializados em mentir e desviar $$$, não as águas do rio... 

Obrigada Bolsonaro por entregar essa obra, o pix, pagar salários na pandemia para evitar demissões, reduzir o desemprego, auxílio Brasil de $600, reduzir homicídios...
#CapitaoNoPrimeiroTurno",bolsonaro,"  o senhor e o pt são especializados em mentir e desviar $$$, não as águas do rio... obrigada bolsonaro por entregar essa obra, o pix, pagar salários na pandemia para evitar demissões, reduzir o desemprego, auxílio brasil de $600, reduzir homicídios..."
2022-07-30 23:36:23+00:00,1553524938413428737,"@marcofeliciano Cita em lula que não aguenta mais evangélicos e os políticos safados roubando, com orçamento SECRETO https://t.co/4TEOAdkovf",bolsonaro," cita em lula que não aguenta mais evangélicos e os políticos safados roubando, com orçamento secreto "
